id_point_eau,date_releve,departement,commune,latitude,longitude,altitude_m,annee_construction,type_ouvrage,type_pompe,profondeur_forage_m,niveau_statique_m,debit_essai_m3_h,qualite_eau,nb_menages,population_desservie,distance_village_m,nb_points_eau_village,mode_gestion,mode_paiement,cotisation_mensuelle_fcfa,technicien_forme_village,stock_pieces_rechange_commune,distance_atelier_km,maitre_ouvrage,installateur,nb_pannes_12_mois,mois_depuis_derniere_maintenance,nb_jours_arret_12_mois,intervention_prevue,cout_reparation_estime_fcfa,etat_fonctionnement
PE-011366,01/03/2025,Collines,Glazoue,8.30544,2.2172,,1988,Puits traditionnel ameliore,Aucune (puisage manuel),5.0,2.3,7.32,Potable,109.0,633,580.0,3,Delegataire prive,Au volume,1000.0,1,1,34.8,Prive,ENT-039,2,5.0,3.0,Aucune,0.0,fonctionnel
PE-002606,2025-01-31,Alibori,Segbana,11.38519,3.15995,297.4,2012,Puits moderne,India Mark II,500.0,1.0,1.44,Potable,108.0,624,100.0,4,Aucune gestion formelle,Gratuit,0.0,0,0,4.8,Commune,ENT-050,1,16.0,229.0,Remplacement de pompe,670000.0,en panne
PE-005660,2025-01-26,Collines,Bante,8.86593,2.48033,196.2,1996,Poste d'eau autonome,Immergee solaire,57.1,41.1,3.95,Potable,54.0,277,80.0,2,Comite de gestion villageois,Gratuit,0.0,0,0,81.0,Cooperation bilaterale,ENT-039,1,,258.0,Abandon,702000.0,en panne
PE-009960,2025-06-28,Zou,Bohicon,7.81238,2.79672,194.3,2014,Puits moderne,Aucune (puisage manuel),24.8,,1.34,Potable,,186,460.0,1,Comite de gestion villageois,Cotisation annuelle,270.0,0,0,27.6,Commune,ENT-015,0,12.0,1.0,Aucune,0.0,fonctionnel
PE-006864,2025-05-03,Mono,Houeyogbe,6.25053,1.52476,,1993,Forage equipe PMH,Volanta,41.8,22.8,3.88,Ferrugineuse,36.0,205,450.0,1,Delegataire prive,Forfait mensuel,180.0,1,1,24.3,Association villageoise,ENT-039,2,33.0,7.0,Aucune,0.0,fonctionnel
PE-002712,2025-10-25,Plateau,SAKETE,7.28451,3.14828,147.1,1986,Forage equipe PMH,India Mark II,57.3,22.1,8.08,Potable,139.0,864,950.0,1,Comite de gestion villageois,Cotisation annuelle,1200.0,1,1,36.8,Etat,ENT-032,4,14.0,4.0,Aucune,0.0,fonctionnel
PE-001712,2025-04-26,Couffo,Aplahoue,0.0,0.0,474.7,2000,Puits moderne,Aucune (puisage manuel),5.0,,1.79,Potable,42.0,194,1580.0,4,Comite de gestion villageois,Au volume,600.0,0,0,17.2,Commune,ENT-047,2,22.0,2.0,Aucune,0.0,fonctionnel
PE-001422,2025-01-26,Plateau,Pobe,6.71041,2.52061,290.0,2006,Puits moderne,India Mark II,5.0,1.5,0.76,Potable,52.0,258,390.0,5,Comite de gestion villageois,Gratuit,0.0,1,1,35.1,Etat,ENT-029,2,8.0,9.0,Aucune,0.0,fonctionnel
PE-000644,2025-07-13,  Atlantique,Toffo,6.85837,2.36364,220.9,1993,Puits moderne,Aucune (puisage manuel),7.3,3.0,,Ferrugineuse,82.0,444,360.0,2,Delegataire prive,Au volume,570.0,0,1,13.9,Prive,ENT-005,1,26.0,3.0,Aucune,0.0,fonctionnel
PE-007859,2025-02-18,Alibori,Karimama,11.25754,3.89681,189.2,2019,Forage equipe PMH,India Mark II,3960.0,14.4,2.91,Turbide,14.0,79,690.0,4,Comite de gestion villageois,Cotisation annuelle,520.0,0,1,9.0,Etat,ENT-042,2,15.0,232.0,Abandon,664000.0,en panne
PE-011374,2025-01-11,Zou,Djidja,7.5434,2.45526,228.1,1992,Forage equipe PMH,Volanta,69.6,,2.04,Fluoree,119.0,808,270.0,4,Comite de gestion villageois,Au volume,670.0,0,0,5.2,Etat,ENT-023,1,11.0,210.0,Rehabilitation lourde,978000.0,en panne
PE-009741,2025-06-07,  Oueme,Bonou,6.32362,2.96674,116.3,1989,Forage equipe PMH,Vergnet,37.0,16.0,2.53,Potable,144.0,667,320.0,5,Delegataire prive,Au volume,720.0,1,1,28.8,Commune,ENT-046,3,18.0,19.0,Reparation legere,124000.0,fonctionnel a reparer
PE-005420,2025-11-09,Collines,Bante,8.35886,2.3258,248.9,2023,Puits moderne,Aucune (puisage manuel),5.0,2.9,1.64,Ferrugineuse,61.0,357,200.0,3,Comite de gestion villageois,Au volume,80.0,0,0,22.7,Commune,ENT-028,1,28.0,7.0,Aucune,0.0,fonctionnel
PE-005159,2025-09-07,Zou,Cove,6.89388,2.0562,104.5,1985,Forage equipe PMH,India Mark II,61.8,,1.17,Potable,11.0,67,330.0,6,Comite de gestion villageois,Cotisation annuelle,270.0,1,0,32.5,Etat,ENT-026,1,8.0,88.0,Remplacement de pompe,1334000.0,en panne
PE-007042,2025-08-31,Couffo,Aplahoue,6.94421,1.97282,328.7,2022,Adduction d'eau villageoise,Immergee electrique,34.6,5.8,3.07,Potable,117.0,800,580.0,6,Aucune gestion formelle,Gratuit,0.0,0,0,9.0,Etat,ENT-011,1,5.0,1.0,Aucune,0.0,fonctionnel
PE-010484,2025-11-01,Plateau,Pobe,6.64378,2.71081,17.8,1985,Forage equipe PMH,India Mark II,74.3,22.7,2.35,Potable,,84,540.0,2,Comite de gestion villageois,Cotisation annuelle,530.0,1,1,33.3,Etat,ENT-043,1,18.0,27.0,Reparation legere,188000.0,fonctionnel a reparer
PE-005840,2025-02-24,Atacora,Toucountouna,10.98879,1.6356,,2023,Poste d'eau autonome,Immergee electrique,35.6,9.3,2.31,,97.0,488,420.0,5,Aucune gestion formelle,Gratuit,0.0,0,1,69.6,Cooperation bilaterale,ENT-034,2,39.0,105.0,Rehabilitation lourde,291000.0,en panne
PE-010892,2025-05-25,Atlantique,Ze,7.18191,2.6404,59.7,1989,Forage equipe PMH,India Mark II,74.4,36.4,2.1,Potable,92.0,560,400.0,3,Gestion communale,Cotisation annuelle,,1,1,7.0,Cooperation bilaterale,ENT-017,1,6.0,2.0,Aucune,0.0,fonctionnel
PE-005629,2025-02-28,Oueme,Dangbo,6.64521,2.67326,244.2,1993,Forage equipe PMH,India Mark II,60.9,43.8,7.71,Potable,163.0,1154,880.0,3,Delegataire prive,Au volume,1980.0,1,1,9.1,Commune,ENT-032,6,9.0,25.0,Reparation legere,69000.0,fonctionnel a reparer
PE-007893,2025-06-12,Borgou,Tchaourou,9.93076,2.90867,,2003,Forage equipe PMH,Vergnet,46.5,19.9,3.65,Potable,47.0,261,70.0,1,Comite de gestion villageois,Cotisation annuelle,310.0,0,1,24.3,ONG internationale,ENT-042,0,48.0,84.0,Abandon,457000.0,en panne
PE-005768,2025-10-08,Plateau,Sakete,6.94294,3.22275,251.9,2017,Forage equipe PMH,Volanta,91.1,32.9,,Potable,39.0,205,270.0,3,Comite de gestion villageois,Cotisation annuelle,580.0,1,0,7.4,ONG internationale,ENT-016,2,11.0,3.0,Aucune,0.0,fonctionnel
PE-004396,2025-08-13,Mono,Lokossa,6.48061,1.44016,155.2,2013,Puits moderne,Aucune (puisage manuel),5.0,31.8483974558557,3.94,Potable,22.0,136,360.0,1,Delegataire prive,Forfait mensuel,510.0,1,1,29.0,Commune,ENT-002,1,8.0,2.0,Aucune,0.0,fonctionnel
PE-002400,2025-09-16,Plateau,Sakete,7.35361,2.75747,126.5,2022,Puits moderne,Aucune (puisage manuel),57.1,,6.54,Potable,63.0,396,670.0,2,Delegataire prive,Au volume,900.0,0,0,12.2,Commune,ENT-045,0,10.0,4.0,Aucune,0.0,fonctionnel
PE-002801,2025-05-02,Oueme,Aguegues,7.10817,3.11572,122.1,1990,Adduction d'eau villageoise,Immergee electrique,87.5,32.5,,Potable,133.0,847,370.0,4,Comite de gestion villageois,Cotisation annuelle,190.0,0,0,16.2,Commune,ENT-032,5,9.0,248.0,Remplacement de pompe,607000.0,en panne
PE-008278,2025-04-27,Plateau,Pobe,6.66299,2.36491,185.6,2021,Poste d'eau autonome,Immergee solaire,60.6,28.0,1.23,Potable,34.0,159,430.0,4,Delegataire prive,Forfait mensuel,470.0,0,1,24.3,ONG internationale,ENT-004,0,12.0,5.0,Aucune,0.0,fonctionnel
PE-006866,2025-07-10,Zou,Zogbodomey,7.94386,2.41942,216.6,2009,Poste d'eau autonome,Immergee electrique,52.8,7.7,11.48,Ferrugineuse,19.0,96,390.0,1,Comite de gestion villageois,Au volume,250.0,1,0,19.8,Commune,ENT-041,3,13.0,15.0,Aucune,0.0,fonctionnel
PE-000060,2025-06-13,Borgou,Bembereke,10.2233,2.64916,155.2,1988,Puits moderne,Aucune (puisage manuel),24.3,9.6,1.72,Potable,74.0,385,260.0,2,Gestion communale,Au volume,1110.0,0,0,31.0,Etat,ENT-002,1,51.0,153.0,Remplacement de pompe,812000.0,en panne
PE-005239,2025-11-13,Mono,Come,7.04338,1.49458,161.9,1998,Adduction d'eau villageoise,Immergee electrique,65.5,37.0,,Ferrugineuse,,679,470.0,1,Aucune gestion formelle,Gratuit,0.0,0,1,7.1,Prive,ENT-043,3,10.0,316.0,Remplacement de pompe,1353000.0,en panne
PE-007498,2025-09-27,Donga,Copargo,9.27603,2.06538,126.0,2005,Forage equipe PMH,Vergnet,74.3,16.9,4.3,Potable,30.0,124,390.0,4,Aucune gestion formelle,Gratuit,0.0,0,1,28.0,ONG internationale,ENT-047,3,30.0,70.0,Rehabilitation lourde,1993000.0,en panne
PE-000415,2025-07-29,Mono,Come,6.46786,1.57504,87.6,1991,Forage equipe PMH,India Mark II,53.1,30.2,1.23,Fluoree,,192,330.0,1,Comite de gestion villageois,Cotisation annuelle,230.0,0,0,25.8,Prive,ENT-046,1,11.0,365.0,Remplacement de pompe,500000.0,en panne
PE-006388,2025-06-04,Alibori,Banikoara,11.42839,2.55393,187.2,1991,Forage equipe PMH,India Mark II,67.6,17.3,3.4,Potable,107.0,641,1350.0,4,Aucune gestion formelle,Gratuit,0.0,0,1,19.4,ONG internationale,ENT-042,3,25.0,148.0,Rehabilitation lourde,2103000.0,en panne
PE-010501,2025-10-20,Atacora,Materi,10.83261,1.45252,47.5,1992,Puits moderne,India Mark II,45.9,16.0,0.73,Potable,78.0,394,250.0,4,Comite de gestion villageois,Cotisation annuelle,470.0,1,0,16.1,Cooperation bilaterale,ENT-039,2,5.0,6.0,Aucune,0.0,fonctionnel
PE-006953,2025-09-25,Donga,Copargo,9.08626,1.8773,242.7,2015,Puits moderne,Aucune (puisage manuel),36.9,18.6,1.69,Potable,163.0,1075,200.0,3,Comite de gestion villageois,Cotisation annuelle,890.0,0,0,32.9,Association villageoise,ENT-032,2,63.0,365.0,Remplacement de pompe,2314000.0,en panne
PE-011102,2025-07-23,Borgou,Nikki,9.83274,2.69109,240.7,2024,Puits moderne,Aucune (puisage manuel),33.5,2.9,8.92,Potable,7.0,29,840.0,4,Delegataire prive,Forfait mensuel,50.0,0,0,14.1,Etat,ENT-005,0,,12.0,Aucune,0.0,fonctionnel
PE-004256,2025-06-02,Zou,AGBANGNIZOUN,7.10362,2.27644,249.6,2004,Poste d'eau autonome,Immergee solaire,59.7,30.0,2.25,Saumatre,78.0,343,100.0,2,Aucune gestion formelle,Gratuit,0.0,1,0,33.1,Etat,ENT-007,1,11.0,21.0,Remplacement de pieces,274000.0,fonctionnel a reparer
PE-000512,2025-01-29,Atacora,Pehunco,10.61091,1.19302,204.6,2014,Forage equipe PMH,Vergnet,39.5,18.8,2.55,Potable,75.0,527,240.0,5,Comite de gestion villageois,Cotisation annuelle,230.0,1,1,74.3,Cooperation bilaterale,ENT-020,2,3.0,4.0,Aucune,0.0,fonctionnel
PE-004194,2025-05-30,Atlantique,Ouidah,6.82554,1.96151,46.3,2006,Forage equipe PMH,India Mark II,76.3,7.3,1.64,Turbide,102.0,735,700.0,6,Delegataire prive,Au volume,990.0,1,1,13.3,Cooperation bilaterale,ENT-017,1,1.0,3.0,Aucune,0.0,fonctionnel
PE-000952,2025-04-22,Atacora,Pehunco,10.87197,1.54935,73.1,1996,Adduction d'eau villageoise,Immergee solaire,72.0,,,,74.0,353,330.0,4,Delegataire prive,Au volume,340.0,0,0,11.8,Cooperation bilaterale,ENT-011,0,8.0,0.0,Aucune,0.0,fonctionnel
PE-004058,2025-11-11,Borgou,Bembereke,10.07264,2.79017,238.8,2007,Forage equipe PMH,Kardia,74.0,15.2,2.12,Potable,133.0,588,350.0,2,Aucune gestion formelle,Gratuit,0.0,0,0,48.0,Etat,ENT-050,1,31.0,81.0,Remplacement de pompe,1578000.0,en panne
PE-009475,2025-03-04,  Alibori,Gogounou,11.7978,3.10254,245.5,2010,Adduction d'eau villageoise,Immergee thermique,41.1,13.8,2.9,Potable,121.0,438,300.0,3,Delegataire prive,Au volume,1010.0,0,1,31.1,Cooperation bilaterale,ENT-037,3,11.0,365.0,Remplacement de pompe,547000.0,en panne
PE-004316,2025-05-03,Couffo,Lalo,7.15386,1.97223,163.3,1996,Puits traditionnel ameliore,Aucune (puisage manuel),40.4,26.1,2.38,Potable,44.0,297,440.0,3,Aucune gestion formelle,Gratuit,0.0,0,0,30.7,ONG internationale,ENT-011,0,,365.0,Rehabilitation lourde,840000.0,en panne
PE-011177,2025-04-05,Mono,Grand-Popo,6.8748,1.88809,163.9,1992,Poste d'eau autonome,Immergee electrique,89.2,34.9,0.9,Turbide,31.0,159,1030.0,3,Comite de gestion villageois,Au volume,520.0,0,1,77.5,Cooperation bilaterale,ENT-036,2,48.0,131.0,Abandon,1136000.0,en panne
PE-004023,2025-09-19,Zou,Zogbodomey,7.60043,2.23787,16.5,2022,Poste d'eau autonome,Immergee thermique,40.5,,2.56,Potable,49.0,290,1310.0,2,Comite de gestion villageois,Cotisation annuelle,340.0,0,1,1.0,ONG internationale,ENT-038,1,14.0,5.0,Aucune,0.0,fonctionnel
PE-006257,2025-06-13,Alibori,Banikoara,0.0,0.0,212.5,2000,Adduction d'eau villageoise,Immergee solaire,63.0,,1.71,Turbide,56.0,405,360.0,3,Comite de gestion villageois,Au volume,1160.0,1,0,28.0,Etat,ENT-043,1,12.0,0.0,Aucune,0.0,fonctionnel
PE-003026,2025-04-13,Borgou,N'Dali,10.14892,2.60138,,2006,Forage equipe PMH,India Mark II,9420.0,8.9,1.72,Potable,105.0,615,1320.0,2,Aucune gestion formelle,Gratuit,0.0,0,1,51.4,Cooperation bilaterale,ENT-023,3,10.0,365.0,Rehabilitation lourde,689000.0,en panne
PE-010245,2025-09-02,Zou,Agbangnizoun,6.99555,2.00627,181.0,2008,Puits moderne,Aucune (puisage manuel),5.0,3.0,2.15,Ferrugineuse,38.0,168,310.0,3,Delegataire prive,Au volume,360.0,0,0,14.3,Commune,ENT-035,0,11.0,1.0,Aucune,0.0,fonctionnel
PE-010996,2025-10-30,Plateau,Adja-Ouere,6.73973,2.74026,233.2,2021,Forage equipe PMH,Vergnet,52.6,23.3,2.07,Potable,73.0,417,770.0,4,Aucune gestion formelle,Cotisation annuelle,140.0,0,0,13.7,Commune,ENT-015,0,45.0,5.0,Aucune,0.0,fonctionnel
PE-007945,2025-03-02,Atacora,Pehunco,10.38947,0.98889,112.7,2009,Puits moderne,Aucune (puisage manuel),41.1,26.8,5.15,Potable,107.0,629,610.0,3,Comite de gestion villageois,Gratuit,0.0,0,0,7.0,ONG internationale,ENT-033,0,13.0,2.0,Aucune,0.0,fonctionnel
PE-009976,2025-05-30,Oueme,Akpro-Misserete,6.737,2.82883,3.0,2014,Poste d'eau autonome,Immergee solaire,27.9,7.8,2.59,Potable,75.0,431,20.0,3,Comite de gestion villageois,Au volume,170.0,1,1,11.0,Commune,ENT-035,0,6.0,1.0,Aucune,0.0,fonctionnel
PE-007527,2025-10-11,Plateau,Pobe,7.34967,2.29846,236.4,2022,Poste d'eau autonome,Immergee solaire,46.6,9.3,10.58,Ferrugineuse,18.0,73,570.0,4,Delegataire prive,Forfait mensuel,1180.0,0,1,29.8,Etat,ENT-011,1,5.0,5.0,Aucune,0.0,fonctionnel
PE-002353,2025-01-13,Atacora,Kouande,10.7249,1.28317,,2007,Adduction d'eau villageoise,Immergee solaire,65.4,17.9,2.54,Potable,85.0,331,310.0,4,Gestion communale,Au volume,170.0,0,1,20.1,Association villageoise,ENT-001,0,25.0,2.0,Aucune,0.0,fonctionnel
PE-008434,2025-02-11,Alibori,Karimama,11.22871,2.81296,236.0,1985,Adduction d'eau villageoise,Immergee solaire,38.7,7.8,1.06,Fluoree,44.0,245,470.0,2,Comite de gestion villageois,Cotisation annuelle,310.0,0,0,25.0,Cooperation bilaterale,ENT-010,3,17.0,296.0,Remplacement de pompe,571000.0,en panne
PE-007524,2025-01-19,Alibori,Gogounou,11.67912,2.40475,3.0,1983,Adduction d'eau villageoise,Immergee solaire,59.3,,8.44,Potable,99.0,747,740.0,3,Delegataire prive,Au volume,500.0,0,0,51.1,Commune,ENT-032,1,,1.0,Aucune,0.0,fonctionnel
PE-003638,2025-08-13,Donga,Copargo,8.87048,1.92443,178.4,2008,Adduction d'eau villageoise,Immergee solaire,74.2,36.4,4.25,Fluoree,104.0,516,60.0,3,Comite de gestion villageois,Cotisation annuelle,590.0,0,0,23.3,Commune,ENT-001,2,24.0,165.0,Rehabilitation lourde,852000.0,en panne
PE-004746,2025-05-03,Plateau,IFANGNI,7.75138,2.55745,245.6,1990,Puits moderne,Aucune (puisage manuel),5.0,3.3,3.12,Potable,78.0,450,1000.0,1,Delegataire prive,Au volume,210.0,0,0,11.6,Association villageoise,ENT-007,2,18.0,6.0,Aucune,0.0,fonctionnel
PE-001453,2025-04-21,Zou,Ouinhi,7.50062,2.59472,112.7,1998,Puits moderne,Aucune (puisage manuel),14.6,5.5,2.26,Potable,201.0,1363,130.0,2,Delegataire prive,Au volume,810.0,1,0,29.1,Prive,ENT-006,2,4.0,0.0,Aucune,0.0,fonctionnel
PE-007032,2025-04-30,Oueme,Adjarra,6.15236,2.80949,,1997,Adduction d'eau villageoise,Immergee solaire,42.3,6.4,,Potable,33.0,191,480.0,2,Comite de gestion villageois,Au volume,1400.0,1,0,12.1,ONG internationale,ENT-028,1,7.0,10.0,Aucune,0.0,fonctionnel
PE-010168,02/08/2025,Mono,Come,6.002,1.80325,215.7,2001,Forage equipe PMH,India Mark II,66.2,19.1,1.96,Saumatre,51.0,288,430.0,2,Gestion communale,Au volume,730.0,1,1,18.2,Commune,ENT-027,4,7.0,17.0,Reparation legere,86000.0,fonctionnel a reparer
PE-004379,2025-10-10,Borgou,Parakou,9.91761,2.50557,217.0,2016,Forage equipe PMH,Vergnet,18.0,5.6,5.24,Turbide,109.0,600,340.0,1,Gestion communale,Au volume,510.0,0,0,20.0,Association villageoise,ENT-022,3,32.0,365.0,Rehabilitation lourde,200000.0,en panne
PE-000452,2025-01-18,Atlantique,Kpomasse,6.398,2.11619,206.8,1994,Forage equipe PMH,Vergnet,58.0,21.5,4.09,Potable,266.0,1572,810.0,3,Gestion communale,Cotisation annuelle,730.0,0,1,12.4,ONG internationale,ENT-046,3,,246.0,Abandon,1075000.0,en panne
PE-002636,2025-03-08,Oueme,Adjarra,6.59506,2.71366,196.2,2023,Forage equipe PMH,Volanta,72.5,31.4,1.8,Potable,129.0,0,1270.0,3,Aucune gestion formelle,Cotisation annuelle,50.0,0,0,52.5,Prive,ENT-050,0,36.0,85.0,Rehabilitation lourde,1697000.0,en panne
PE-005498,2025-03-26,Atacora,Toucountouna,10.41514,1.54434,63.5,1990,Forage equipe PMH,India Mark II,69.8,21.6,0.73,Potable,,131,70.0,2,Comite de gestion villageois,Gratuit,0.0,0,1,19.8,Association villageoise,ENT-024,2,27.0,190.0,Rehabilitation lourde,1219000.0,en panne
PE-000291,2025-09-18,Borgou,Perere,9.71064,2.96488,397.6,2015,Poste d'eau autonome,Immergee solaire,59.1,24.0,4.01,Potable,22.0,141,550.0,2,Comite de gestion villageois,Au volume,1090.0,1,0,66.8,Cooperation bilaterale,ENT-051,1,7.0,4.0,Aucune,0.0,fonctionnel
PE-007491,2025-05-04,Mono,Come,6.19362,1.9746,362.9,1997,Forage equipe PMH,Vergnet,69.5,48.2,1.1,Potable,76.0,452,250.0,3,Delegataire prive,Au volume,170.0,0,0,51.5,Cooperation bilaterale,ENT-035,5,24.0,151.0,Rehabilitation lourde,1106000.0,en panne
PE-002638,2025-03-24,Plateau,Ketou,6.99359,2.53805,284.6,2000,Forage equipe PMH,Kardia,37.7,15.2,1.85,Turbide,66.0,341,520.0,7,Comite de gestion villageois,Cotisation annuelle,240.0,1,1,24.9,Commune,ENT-050,1,13.0,8.0,Aucune,0.0,fonctionnel
PE-002949,2025-09-27,Collines,Bante,8.45087,2.68811,166.0,2004,Forage equipe PMH,Volanta,44.9,10.7,4.78,Potable,67.0,470,330.0,1,Delegataire prive,Au volume,520.0,0,1,22.1,Commune,ENT-037,1,34.0,126.0,Remplacement de pompe,1109000.0,en panne
PE-005582,2025-10-12,Atlantique,Abomey-Calavi,6.04645,1.90946,93.6,2021,Poste d'eau autonome,Immergee electrique,42.5,13.3,,Potable,81.0,366,1130.0,2,Delegataire prive,Au volume,690.0,0,1,28.2,Commune,ENT-014,0,21.0,2.0,Aucune,0.0,fonctionnel
PE-003480,2025-10-12,Atacora,Cobly,10.61721,1.30961,360.0,1989,Adduction d'eau villageoise,Immergee solaire,72.3,,1.08,Potable,101.0,551,930.0,5,Comite de gestion villageois,Cotisation annuelle,360.0,1,1,16.2,Cooperation bilaterale,ENT-046,2,24.0,31.0,Remplacement de pieces,290000.0,fonctionnel a reparer
PE-010568,2025-08-18,Collines,Savalou,8.72406,2.50924,283.7,1986,Adduction d'eau villageoise,Immergee electrique,77.9,24.5,0.84,Potable,46.0,313,1490.0,2,Gestion communale,Au volume,230.0,1,1,12.3,Etat,ENT-010,0,,48.0,Reparation legere,113000.0,fonctionnel a reparer
PE-003438,2025-03-21,Borgou,N'Dali,9.23873,1.8061,236.6,2009,Forage equipe PMH,Volanta,56.4,16.7,,Potable,94.0,666,170.0,2,Aucune gestion formelle,Cotisation annuelle,230.0,0,1,58.0,Commune,ENT-042,2,9.0,137.0,Rehabilitation lourde,1340000.0,en panne
PE-006701,2025-03-02,Collines,Dassa-Zoume,8.08903,1.80283,,2008,Adduction d'eau villageoise,Immergee solaire,25.9,8.3,1.26,Potable,135.0,794,270.0,2,Comite de gestion villageois,Cotisation annuelle,,0,0,15.6,Association villageoise,ENT-009,0,7.0,2.0,Aucune,0.0,fonctionnel
PE-002016,2025-04-19,Collines,Ouesse,8.83521,2.44909,126.2,2009,Adduction d'eau villageoise,Immergee solaire,42.0,22.3,11.06,Potable,41.0,236,620.0,5,Gestion communale,Au volume,50.0,0,0,22.0,ONG internationale,ENT-042,0,14.0,10.0,Aucune,0.0,fonctionnel
